Month,ProductID,MarketID,ForecastQty,ActualDemandQty,OpeningInventoryQty,ReceiptsQty,BlockedInventoryQty,ClosingInventoryQty,ExpiryInMonths,Scenario
2026-01-01,P01,M01,131,136,388,165,0,417,11,Normal operations
2026-01-01,P03,M03,93,89,257,87,0,255,22,Normal operations
2026-01-01,P05,M05,80,73,207,73,0,207,22,Normal operations
2026-01-01,P08,M02,398,350,1287,507,0,1444,8,Normal operations
2026-01-01,P10,M04,223,221,698,205,0,682,18,Normal operations
2026-01-01,P13,M01,141,128,420,97,0,389,11,Normal operations
2026-01-01,P15,M03,84,80,294,91,0,305,8,Normal operations
2026-01-01,P17,M05,76,76,207,57,0,188,5,Normal operations
2026-01-01,P20,M02,362,358,1202,327,118,1053,8,Normal operations
2026-01-01,P22,M04,210,209,598,181,0,570,5,Normal operations
2026-02-01,P01,M01,141,150,417,130,0,397,14,Normal operations
2026-02-01,P03,M03,79,77,255,97,0,275,8,Normal operations
2026-02-01,P05,M05,83,88,207,91,0,210,8,Normal operations
2026-02-01,P08,M02,429,455,1444,349,0,1338,22,Normal operations
2026-02-01,P10,M04,217,192,682,192,0,682,11,Normal operations
2026-02-01,P13,M01,146,147,389,99,0,341,14,Normal operations
2026-02-01,P15,M03,73,84,305,80,0,301,18,Normal operations
2026-02-01,P17,M05,75,74,188,73,0,187,14,Normal operations
2026-02-01,P20,M02,437,446,1053,332,0,939,5,Normal operations
2026-02-01,P22,M04,209,204,570,183,0,549,22,Normal operations
2026-03-01,P01,M01,136,136,397,152,0,413,11,Normal operations
2026-03-01,P03,M03,80,74,275,77,0,278,11,Normal operations
2026-03-01,P05,M05,87,82,210,91,0,219,5,Normal operations
2026-03-01,P08,M02,455,486,1338,396,0,1248,22,Normal operations
2026-03-01,P10,M04,192,167,682,183,0,698,5,Normal operations
2026-03-01,P13,M01,137,130,341,142,51,302,8,Normal operations
2026-03-01,P15,M03,79,77,301,72,0,296,8,Normal operations
2026-03-01,P17,M05,80,77,187,63,0,173,14,Normal operations
2026-03-01,P20,M02,416,447,939,319,0,811,14,Normal operations
2026-03-01,P22,M04,189,176,549,239,0,612,22,Normal operations
2026-04-01,P01,M01,136,133,413,148,0,428,14,Normal operations
2026-04-01,P03,M03,68,73,278,93,0,298,8,Normal operations
2026-04-01,P05,M05,83,71,219,87,0,235,22,Normal operations
2026-04-01,P08,M02,425,435,1248,475,0,1288,18,Normal operations
2026-04-01,P10,M04,173,185,698,175,0,688,18,Normal operations
2026-04-01,P13,M01,126,117,302,116,28,273,22,Normal operations
2026-04-01,P15,M03,66,67,296,96,49,276,8,Normal operations
2026-04-01,P17,M05,81,76,173,61,0,158,18,Normal operations
2026-04-01,P20,M02,453,435,811,402,0,778,8,Normal operations
2026-04-01,P22,M04,173,179,612,216,0,649,14,Normal operations
2026-05-01,P01,M01,131,112,428,128,0,444,8,Normal operations
2026-05-01,P03,M03,79,79,298,104,0,323,14,Normal operations
2026-05-01,P05,M05,74,78,235,62,22,197,5,Normal operations
2026-05-01,P08,M02,431,431,1288,437,0,1294,14,Normal operations
2026-05-01,P10,M04,171,171,688,249,0,766,8,Normal operations
2026-05-01,P13,M01,120,133,273,107,0,247,18,Normal operations
2026-05-01,P15,M03,72,64,276,82,0,294,14,Normal operations
2026-05-01,P17,M05,73,70,158,74,0,162,22,Normal operations
2026-05-01,P20,M02,418,391,778,410,0,797,11,Normal operations
2026-05-01,P22,M04,150,159,649,207,0,697,11,Normal operations
2026-06-01,P01,M01,112,108,444,152,0,488,14,Normal operations
2026-06-01,P03,M03,71,69,323,95,0,349,22,Normal operations
2026-06-01,P05,M05,66,60,197,91,0,228,22,Normal operations
2026-06-01,P08,M02,443,369,1294,474,0,1399,8,Normal operations
2026-06-01,P10,M04,149,147,766,159,0,778,22,Normal operations
2026-06-01,P13,M01,112,106,247,144,0,285,8,Normal operations
2026-06-01,P15,M03,76,70,294,100,0,324,5,Normal operations
2026-06-01,P17,M05,67,65,162,80,0,177,14,Normal operations
2026-06-01,P20,M02,412,369,797,346,0,774,14,Normal operations
2026-06-01,P22,M04,151,150,697,170,0,717,5,Normal operations
2026-07-01,P01,M01,111,113,488,144,0,519,14,Normal operations
2026-07-01,P03,M03,84,79,349,83,0,353,5,Normal operations
2026-07-01,P05,M05,67,64,228,86,0,250,14,Normal operations
2026-07-01,P08,M02,363,387,1399,502,0,1514,14,Normal operations
2026-07-01,P10,M04,158,154,778,213,0,837,22,Normal operations
2026-07-01,P13,M01,97,116,285,116,0,285,8,Normal operations
2026-07-01,P15,M03,80,84,324,108,0,348,5,Normal operations
2026-07-01,P17,M05,63,67,177,72,0,182,18,Normal operations
2026-07-01,P20,M02,402,361,774,330,0,743,11,Normal operations
2026-07-01,P22,M04,160,160,717,243,0,800,14,Normal operations
2026-08-01,P01,M01,105,149,519,24,0,394,8,Supplier delay — projected stock-out
2026-08-01,P03,M03,93,92,353,81,0,342,14,Normal operations
